longitude,latitude,ATTR1
-104.0,31.4,
-103.99,31.4,
-103.98,31.4,
-103.97,31.4,
-103.96,31.4,
-103.95,31.4,
-103.94,31.4,
-103.93,31.4,
-103.92,31.4,
-103.91,31.4,
-103.9,31.4,
-103.89,31.4,
-103.88,31.4,
-103.87,31.4,
-103.86,31.4,
-103.85,31.4,
-103.84,31.4,
-103.83,31.4,
-103.82,31.4,
-103.81,31.4,
-103.8,31.4,
-103.79,31.4,
-103.78,31.4,
-103.77,31.4,
-103.76,31.4,
-103.75,31.4,
-103.74,31.4,
-103.73,31.4,
-103.72,31.4,
-103.71,31.4,
-103.7,31.4,
-103.69,31.4,
-103.68,31.4,
-103.67,31.4,
-103.66,31.4,
-103.65,31.4,
-103.64,31.4,
-103.63,31.4,
-103.62,31.4,
-103.61,31.4,
-103.6,31.4,
-103.59,31.4,
-103.58,31.4,
-103.57,31.4,
-103.56,31.4,
-103.55,31.4,
-103.54,31.4,
-103.53,31.4,
-103.52,31.4,
-103.51,31.4,
-103.5,31.4,
-103.49,31.4,
-103.48,31.4,
-103.47,31.4,
-103.46,31.4,
-103.45,31.4,
-103.44,31.4,
-103.43,31.4,
-103.42,31.4,
-103.41,31.4,
-104.0,31.41,
-103.99,31.41,0.989264970601831
-103.98,31.41,0.9903649511380224
-103.97,31.41,0.9915867416103021
-103.96,31.41,0.9929039857216215
-103.95,31.41,0.9942314736141437
-103.94,31.41,0.9955354069493914
-103.93,31.41,0.9967473756876404
-103.92,31.41,0.9977990615649441
-103.91,31.41,0.9986396174023265
-103.9,31.41,0.9992266165024924
-103.89,31.41,0.9996148581392739
-103.88,31.41,0.999828003782306
-103.87,31.41,0.9999253996745816
-103.86,31.41,0.9998425557599642
-103.85,31.41,0.9993804737212441
-103.84,31.41,0.9979861401142616
-103.83,31.41,0.9948257693902847
-103.82,31.41,0.988261358945581
-103.81,31.41,0.9771838813192679
-103.8,31.41,0.960760846269501
-103.79,31.41,0.9382027131432965
-103.78,31.41,0.910341084786962
-103.77,31.41,0.8798519891573431
-103.76,31.41,0.8516881225172322
-103.75,31.41,0.8339243148976173
-103.74,31.41,0.8318129851233624
-103.73,31.41,0.8473911882733588
-103.72,31.41,0.8748438575329817
-103.71,31.41,0.906007517012326
-103.7,31.41,0.9345367029561457
-103.69,31.41,0.9573245134993267
-103.68,31.41,0.9717708164266461
-103.67,31.41,0.9765286899864315
-103.66,31.41,0.9713705602739389
-103.65,31.41,0.9517070928364131
-103.64,31.41,0.9178762788296726
-103.63,31.41,0.8732887120183119
-103.62,31.41,0.827508600582153
-103.61,31.41,0.7988854651708375
-103.6,31.41,0.790621271237088
-103.59,31.41,0.7906356272994997
-103.58,31.41,0.7780620364528456
-103.57,31.41,0.7451540473064826
-103.56,31.41,0.6940470072474282
